00:00:04.564679 nspr-5   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.564686 nspr-5   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.565493 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.565497 nspr-3   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.566127 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.566130 nspr-4   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.567511 nspr-5   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.567515 nspr-5   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.568502 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.568506 nspr-3   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:09:55.573976 nspr-3   Import settings with version "1.15-windows"
00:09:55.574124 nspr-3   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:09:55.574135 nspr-3   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:09:55.574148 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={d0a0163f-e254-4e5b-a1f2-011cf991c38d} aComponent={VirtualBoxWrap} aText={Could not find a registered machine named 'MSEdge - Win10'}, preserve=false aResultDetail=0
00:09:55.574223 nspr-3   ERROR [COM]: aRC=VBOX_E_FILE_ERROR (0x80bb0004) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Could not find file for the medium '/home/benny/VirtualBox VMs/MSEdge - Win10/MSEdge - Win10-disk001.vmdk' (VERR_FILE_NOT_FOUND)}, preserve=false aResultDetail=-102
00:10:07.594854 nspr-2   Saving settings file "/home/benny/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:10:07.611861 nspr-3   Saving settings file "/home/benny/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:10:07.627620 nspr-2   Saving settings file "/home/benny/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:10:13.157316 main     VirtualBox: object deletion starts
00:10:13.402855 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={d0a0163f-e254-4e5b-a1f2-011cf991c38d} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
00:10:18.158742 main     {00007f6b6c01aa40} HostPowerServiceLinux::~HostPowerServiceLinux: RTThreadWait() for 5000 ms failed with VERR_TIMEOUT
00:10:18.159475 main     VirtualBox: object deleted
